fiscal_year,scenario,block,line_item,amount_usd,basis,source_key,notes
FY2028,high,public_safety,fire_levy_operating,104998598.64,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2029,high,public_safety,gf_personnel,364996537.01,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 5.00%/yr"
FY2029,high,public_safety,gf_nonpersonnel,121665512.34,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 5.00%/yr"
FY2029,high,public_safety,fire_levy_operating,111298514.56,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2030,high,public_safety,gf_personnel,383246363.86,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 5.00%/yr"
FY2030,high,public_safety,gf_nonpersonnel,127748787.95,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 5.00%/yr"
FY2030,high,public_safety,fire_levy_operating,117976425.44,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2031,high,public_safety,gf_personnel,402408682.05,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 5.00%/yr"
FY2031,high,public_safety,gf_nonpersonnel,134136227.35,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 5.00%/yr"
FY2031,high,public_safety,fire_levy_operating,125055010.96,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2027,high,general_government,gopi_megr_gf,153412403.55,committed,PWC-BUD-FY26-EXP,"Growth 5.00%/yr over FY26 $146,107,051"
FY2027,high,general_government,non_departmental_gf,50489117.70,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2027,high,community_services,hwes_gf,307905804.15,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2028,high,general_government,gopi_megr_gf,161083023.73,committed,PWC-BUD-FY26-EXP,"Growth 5.00%/yr over FY26 $146,107,051"
FY2028,high,general_government,non_departmental_gf,53013573.59,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2028,high,community_services,hwes_gf,323301094.36,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2029,high,general_government,gopi_megr_gf,169137174.91,committed,PWC-BUD-FY26-EXP,"Growth 5.00%/yr over FY26 $146,107,051"
FY2029,high,general_government,non_departmental_gf,55664252.26,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2029,high,community_services,hwes_gf,339466149.08,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2030,high,general_government,gopi_megr_gf,177594033.66,committed,PWC-BUD-FY26-EXP,"Growth 5.00%/yr over FY26 $146,107,051"
FY2030,high,general_government,non_departmental_gf,58447464.88,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2030,high,community_services,hwes_gf,356439456.53,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2031,high,general_government,gopi_megr_gf,186473735.34,committed,PWC-BUD-FY26-EXP,"Growth 5.00%/yr over FY26 $146,107,051"
FY2031,high,general_government,non_departmental_gf,61369838.12,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2031,high,community_services,hwes_gf,374261429.36,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2027,high,debt_service,total_principal_plus_interest,153192809.00,committed,PWC-BUD-FY26-DEBT,Grand total from FY26 Adopted CIP Debt Service schedule (existing + new CIP issuances + admin). Tranches itemized in debt_service_schedule.csv.
FY2028,high,debt_service,total_principal_plus_interest,161363914.00,committed,PWC-BUD-FY26-DEBT,Grand total from FY26 Adopted CIP Debt Service schedule (existing + new CIP issuances + admin). Tranches itemized in debt_service_schedule.csv.
FY2029,high,debt_service,total_principal_plus_interest,171711276.00,committed,PWC-BUD-FY26-DEBT,Grand total from FY26 Adopted CIP Debt Service schedule (existing + new CIP issuances + admin). Tranches itemized in debt_service_schedule.csv.
FY2030,high,debt_service,total_principal_plus_interest,176021071.00,committed,PWC-BUD-FY26-DEBT,Grand total from FY26 Adopted CIP Debt Service schedule (existing + new CIP issuances + admin). Tranches itemized in debt_service_schedule.csv.
FY2031,high,debt_service,total_principal_plus_interest,175419137.00,committed,PWC-BUD-FY26-DEBT,Grand total from FY26 Adopted CIP Debt Service schedule (existing + new CIP issuances + admin). Tranches itemized in debt_service_schedule.csv.
FY2027,high,pension_opeb,vrs_employer_contribution,76748700.00,embedded,PWC-BUD-FY26-COMP,VRS 15.89% held flat (FY26 Adopted Five-Year Plan assumption). Covered payroll FY26 proxy $460M; grown 5.00%/yr. Already embedded in department personnel lines -- informational.
FY2027,high,pension_opeb,supplemental_pension_police_fire_sheriff,6955200.00,embedded,PWC-BUD-FY26-COMP,1.44% held flat per Adopted Five-Year Plan. Already embedded in public_safety personnel -- informational.
FY2027,high,pension_opeb,401a_money_purchase,2415000.00,embedded,PWC-BUD-FY26-COMP,0.50% held flat per Adopted Five-Year Plan. Embedded in personnel -- informational.
FY2027,high,pension_opeb,health_dental_insurance_employer,59280000.00,embedded,PWC-BUD-FY26-COMP,10%/yr programmed in Adopted Plan (scenario=high uses 14.0%). Cumulative 5-yr cost $74.36M. Embedded in fringe benefits -- informational.
FY2027,high,pension_opeb,retiree_health_credit,3150000.00,embedded,PWC-BUD-FY26-COMP,5%/yr growth FY27-30 (Adopted Plan); scenario=high. Embedded in personnel -- informational.
FY2028,high,pension_opeb,vrs_employer_contribution,80586135.00,embedded,PWC-BUD-FY26-COMP,VRS 15.89% held flat (FY26 Adopted Five-Year Plan assumption). Covered payroll FY26 proxy $460M; grown 5.00%/yr. Already embedded in department personnel lines -- informational.
FY2028,high,pension_opeb,supplemental_pension_police_fire_sheriff,7302960.00,embedded,PWC-BUD-FY26-COMP,1.44% held flat per Adopted Five-Year Plan. Already embedded in public_safety personnel -- informational.
FY2028,high,pension_opeb,401a_money_purchase,2535750.00,embedded,PWC-BUD-FY26-COMP,0.50% held flat per Adopted Five-Year Plan. Embedded in personnel -- informational.
FY2028,high,pension_opeb,health_dental_insurance_employer,67579200.00,embedded,PWC-BUD-FY26-COMP,10%/yr programmed in Adopted Plan (scenario=high uses 14.0%). Cumulative 5-yr cost $74.36M. Embedded in fringe benefits -- informational.
FY2028,high,pension_opeb,retiree_health_credit,3307500.00,embedded,PWC-BUD-FY26-COMP,5%/yr growth FY27-30 (Adopted Plan); scenario=high. Embedded in personnel -- informational.
FY2029,high,pension_opeb,vrs_employer_contribution,84615441.75,embedded,PWC-BUD-FY26-COMP,VRS 15.89% held flat (FY26 Adopted Five-Year Plan assumption). Covered payroll FY26 proxy $460M; grown 5.00%/yr. Already embedded in department personnel lines -- informational.
FY2029,high,pension_opeb,supplemental_pension_police_fire_sheriff,7668108.00,embedded,PWC-BUD-FY26-COMP,1.44% held flat per Adopted Five-Year Plan. Already embedded in public_safety personnel -- informational.
FY2029,high,pension_opeb,401a_money_purchase,2662537.50,embedded,PWC-BUD-FY26-COMP,0.50% held flat per Adopted Five-Year Plan. Embedded in personnel -- informational.
FY2029,high,pension_opeb,health_dental_insurance_employer,77040288.00,embedded,PWC-BUD-FY26-COMP,10%/yr programmed in Adopted Plan (scenario=high uses 14.0%). Cumulative 5-yr cost $74.36M. Embedded in fringe benefits -- informational.
FY2029,high,pension_opeb,retiree_health_credit,3472875.00,embedded,PWC-BUD-FY26-COMP,5%/yr growth FY27-30 (Adopted Plan); scenario=high. Embedded in personnel -- informational.
FY2030,high,pension_opeb,vrs_employer_contribution,88846213.84,embedded,PWC-BUD-FY26-COMP,VRS 15.89% held flat (FY26 Adopted Five-Year Plan assumption). Covered payroll FY26 proxy $460M; grown 5.00%/yr. Already embedded in department personnel lines -- informational.
FY2030,high,pension_opeb,supplemental_pension_police_fire_sheriff,8051513.40,embedded,PWC-BUD-FY26-COMP,1.44% held flat per Adopted Five-Year Plan. Already embedded in public_safety personnel -- informational.
FY2030,high,pension_opeb,401a_money_purchase,2795664.38,embedded,PWC-BUD-FY26-COMP,0.50% held flat per Adopted Five-Year Plan. Embedded in personnel -- informational.
FY2030,high,pension_opeb,health_dental_insurance_employer,87825928.32,embedded,PWC-BUD-FY26-COMP,10%/yr programmed in Adopted Plan (scenario=high uses 14.0%). Cumulative 5-yr cost $74.36M. Embedded in fringe benefits -- informational.
FY2030,high,pension_opeb,retiree_health_credit,3646518.75,embedded,PWC-BUD-FY26-COMP,5%/yr growth FY27-30 (Adopted Plan); scenario=high. Embedded in personnel -- informational.
FY2031,high,pension_opeb,vrs_employer_contribution,93288524.53,embedded,PWC-BUD-FY26-COMP,VRS 15.89% held flat (FY26 Adopted Five-Year Plan assumption). Covered payroll FY26 proxy $460M; grown 5.00%/yr. Already embedded in department personnel lines -- informational.
FY2031,high,pension_opeb,supplemental_pension_police_fire_sheriff,8454089.07,embedded,PWC-BUD-FY26-COMP,1.44% held flat per Adopted Five-Year Plan. Already embedded in public_safety personnel -- informational.
FY2031,high,pension_opeb,401a_money_purchase,2935447.59,embedded,PWC-BUD-FY26-COMP,0.50% held flat per Adopted Five-Year Plan. Embedded in personnel -- informational.
FY2031,high,pension_opeb,health_dental_insurance_employer,100121558.28,embedded,PWC-BUD-FY26-COMP,10%/yr programmed in Adopted Plan (scenario=high uses 14.0%). Cumulative 5-yr cost $74.36M. Embedded in fringe benefits -- informational.
FY2031,high,pension_opeb,retiree_health_credit,3828844.69,embedded,PWC-BUD-FY26-COMP,5%/yr growth FY27-30 (Adopted Plan); scenario=high. Embedded in personnel -- informational.
FY2027,high,capital_paygo,cip_cash_financed,36974594.00,programmed,PWC-BUD-FY26-SUMM,FY27 County CIP Expenditures per Adopted Five-Year Plan.
FY2028,high,capital_paygo,cip_cash_financed,58968718.00,programmed,PWC-BUD-FY26-SUMM,FY28 County CIP Expenditures per Adopted Five-Year Plan.
FY2029,high,capital_paygo,cip_cash_financed,86140722.00,programmed,PWC-BUD-FY26-SUMM,FY29 County CIP Expenditures per Adopted Five-Year Plan.
FY2030,high,capital_paygo,cip_cash_financed,101639730.00,programmed,PWC-BUD-FY26-SUMM,FY30 County CIP Expenditures per Adopted Five-Year Plan.
FY2031,high,capital_paygo,cip_cash_financed,115000000.00,extrapolated,derived,FY31 extrapolated at approximately 13% growth (trailing 3-yr growth rate from FY28-30 was 14-46%; using conservative 13% YoY over FY30).
